FIPStxt,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,class
12043,-310846009.3636629,-222017446.05883837,-21675382.404740516,26050.192228200965,-18039.994845629342,86.22289198236885,-57.52923697599291,-667.5447024877109,-60.586233905051245,-15.407175738305874,0
12045,-1197562707.0914125,-210840708.9838368,-19152656.97388719,30497.4729229197,-13981.010867212548,-324.8951493736664,-218.22062216227727,-489.06699579444967,-38.23323087100597,-11.536456149723891,4
12047,-1380249757.0421557,-210351616.50654048,-21074297.94244751,32540.637851844665,-16069.574029067697,3237.966679404883,567.2772502102914,-1812.9139075236435,-277.77577482561185,-11.889417213210177,4
26001,-787689072.8937358,-222417995.35177058,-28948879.805531606,27602.659774595373,-13592.82664515901,-702.1649418295967,-578.2155948230743,104.79043487979358,80.140403211833,-17.116318233524698,4
26085,-1180074393.4543545,-218110993.93177313,-28692550.725028582,29475.128801310075,-12351.04049743957,-562.9556029755146,-1113.600625071364,976.4269505279891,218.3147664196683,-12.322919710574554,4
12049,-940528573.5578661,-196033426.71204787,4410134.872737437,33475.67403532162,-18622.09703349559,2034.9578179698678,-155.41732821398782,-471.0810381424604,-109.72690728784062,-7.088741365790351,4
12133,-1130277919.1080825,-209555790.09425643,-16472730.274281539,34165.04777635134,-3533.6911302058165,-1899.7960185824784,-483.5022940054375,-234.77197431936114,-33.6704677755985,-6.280123408396739,4
4001,37722302347.696846,-642849464.0293827,-51047667.25122585,-89323.06089400286,11710.603782571614,-18653.678952814167,-128.98719154383224,-269.1379222361278,-410.9061257130173,36.86821394114661,1
4003,19246622109.25753,-307398522.6050607,-26763995.488802005,-52414.22082995125,17687.06121094284,9878.141315719207,866.5207840239099,-119.00021868043946,422.52040511295417,-3.0778818832719943,2
4005,64849251287.58921,-836616258.6670793,-120117186.65733059,-220022.19561673512,-8874.913359316099,-18123.959228456515,2304.602115518732,-28.545811823443806,61.66268445753316,97.03685820071343,3
4007,14133066758.938469,-354327395.40872777,4202544.5439855065,-8258.348127186462,-18785.16195054736,3941.6749478974143,-79.59083224168057,-304.33260921944844,-337.25258875421304,11.776905548604196,2
4009,13647271849.75886,-361932797.7565673,-12896160.850449415,-15592.69852700821,-21583.960320130158,-1889.7663630790046,27.88725953711872,-419.3409246711636,-218.87768215601366,10.886580767807596,2
4011,3486372689.693582,-265870623.26902407,-27081346.37477101,9479.66561150492,-26822.735214888307,-1037.2650393730205,47.565788677574965,-586.4382500185202,-38.509587812554884,-4.961231854717638,0
4012,13211124712.941118,-376054922.3816401,-38066181.489299856,-19878.050829929038,-22298.06520237263,-3187.1507716361207,164.79292013226535,-680.2442538233198,-168.555572323627,12.3738778514548,2
4013,28306616569.236706,4287226912.1642575,8538667.842409026,1021444.8854201919,15405.090309297857,-315.03013840587266,-6939.937392919617,-1641.303625361769,789.6591078464699,-67.53112755071324,1
26039,-1228110350.7116158,-207444030.84430063,-15011638.097368263,28243.416253436713,-18163.682553347346,-1808.2023320287185,-354.6924229276731,-152.34192742537996,42.70157898759663,-12.41047663299783,4
4015,45326959861.05057,-499267243.5292038,87330054.82851446,-126104.10082454825,-36382.90937837059,11892.892226655638,1087.2959637560923,1783.0927618860444,-63.69580387680951,48.75285774233664,1
4017,33108270564.57861,-524246727.2225458,43446649.023771115,-66659.42530103086,-3330.807231551842,-18041.642611862662,-65.72633217558597,5.545970334436584,-483.28147971082234,16.339965022553944,1
4019,29683255026.064068,954354037.8567615,72963885.6077273,-166999.04175974135,-8721.181310457216,4504.48052846005,9.030567959448247,567.0816333826748,-168.15378090299106,-61.21691261339743,1
4021,16179440100.159237,14022970.661743095,38978270.337119795,13724.328197356774,57845.362684807296,60215.50204367516,-884.3791254323135,1721.3537093724108,103.65197956364098,-12.947962119863327,2
4023,1224225951.760863,-181753732.75505555,54204830.36386873,28099.817930987952,-34785.948628244776,1727.525453838257,-103.71516006333222,-88.43335519590455,-135.28105270146528,-11.474563413785202,0
4025,26329101961.578842,-237991636.03962737,52941564.76049576,-111301.58646282859,12952.693569443496,-4951.7728768605175,752.8158074781568,732.7305358064951,-9.90559323562798,-26.922853365068534,1
4027,16814441014.032084,-171038644.50431922,-27243383.977021333,-27324.632722961313,-12507.027801840804,27700.199825822918,1523.3082747901283,-629.1857976100048,1001.0126950640897,21.578438451641112,2
12001,-219447600.70074663,141837357.9254504,-8776980.539152533,-22932.044487508967,26889.444882655214,-3053.762206440875,1097.7780984907445,34.26994386131588,83.45713769425802,-29.348582916452482,0
12003,-1132006925.322608,-195088234.6026314,2978319.111461371,32388.647668726364,-15285.185424610272,-1603.3118100050115,-288.3118769053512,-290.0195934630844,-44.232373645660786,-6.967292832427092,4
12005,-654730518.9119252,165107300.1976932,-5475334.774085142,-137067.37774650587,-19675.824043460765,-3412.0296738217244,1090.0822689140539,127.52074482679015,185.87338926381037,-35.772953422688765,4
12007,-2192552514.028979,-190849171.99012744,-6293019.972314102,38847.21683540212,-4644.113883972725,-1330.5199640357669,-430.2550224120467,-309.10167324440204,-58.38275963684542,27.938977752697795,4
12009,-12093315.391627654,856946222.526895,-26011473.09318516,-284649.2892885664,-20152.531911954837,-129.18981934630267,711.9316588683117,539.6433199379067,-453.7831673323636,-68.63609017815389,0
12011,472118792.50577193,1372250327.274317,-24578158.970537186,1252062.3569441042,-16229.19842769418,-4487.528092418999,-140.36624221417821,370.54619259663235,44.72419145374197,-23.56847022503132,0
12013,-1187282352.9760296,-208396910.46212196,-15717755.680060826,29174.153102190532,-18061.197089815825,-384.96689079532354,-203.99050474416563,-422.0402589767511,-17.49697595744167,-11.85899234060517,4
12015,-976390599.9666865,258386984.67112234,-20464522.88540824,-248069.47384849624,-27743.49580967518,-843.6772640335029,800.0337739570749,234.30072031413334,101.76566454618546,-37.32622682830065,4
12017,-1313115746.453882,184025815.54885182,23590084.594100367,-220626.67793305434,6270.527294110971,-7975.383321911773,155.73425102192073,74.57827746110618,133.49924301636554,6.968941273462107,4
37029,-2377078058.4629884,-203697055.44788206,-26194153.447719034,32981.42675903103,-14011.7168155351,94.06904000465133,308.49261083232733,-1420.9682626383012,-155.96432011646093,-1.3957483681045944,4
12019,-1237374104.8245623,215461945.89102742,-6859619.444449209,-155919.91171810662,-9269.81408759064,-3026.9796204069494,896.6754706414039,101.89307484658693,143.5148954045933,-18.225730605134,4
12021,3742698249.2708898,410478568.13082594,49072358.260557875,-217614.19149795477,-33705.83877670759,2696.498682588527,1021.0506886458655,177.85847309265523,240.57162279405128,-58.894703524321656,0
12023,-381952012.012918,-166463665.1427935,52103981.70039733,41190.87870923376,2899.9905841273285,-8271.84041713921,-509.03446336439197,-126.71106829685756,-159.87054592452756,-8.698344434052041,0
12027,-945854613.1402994,-189669494.37289628,4158992.3676188025,33526.325112918115,-13968.339923877806,5812.258133166673,439.178152606087,-321.34975995778785,240.53558298145276,-9.770009272304765,4
12029,-682044910.204857,-215599353.52918586,-18278004.6391712,28287.953255711356,-14339.14402165452,-1240.0811451343009,-310.324727331129,-305.8345248015635,-6.121494146098515,-14.11906771925635,4
12031,-1148258647.2475395,1348152366.6727517,-21497606.043155346,-253379.5789891913,-30082.48401948336,482.795338853741,363.9218833404514,324.9604634005519,-435.79114921523615,-43.883460763017546,4
12033,-1163488264.1791358,489632581.8805039,-18059939.78663791,-276839.99979818094,-18804.86644910473,351.08073602893626,894.1333660637713,-290.4526076105863,263.46833949386337,-26.059641053462418,4
12035,-1573844355.9271967,2114610.950252737,-26896489.954222206,-61133.75141526035,-20849.407635311607,168.610339804105,1124.095676766398,930.5674718383442,-225.93520217664778,-34.30624088296991,4
12037,-1304654408.5920115,-209792759.98252475,-19254381.383507494,28725.88032123421,-19506.623039748836,184.30129104192298,-112.14369588642468,-561.6440201798189,-29.20502359734222,-13.04121829419818,4
12039,-1390306320.772944,-182617312.51664492,11932980.808906626,40489.44897254243,1418.6830514234732,-611.2680085209158,161.29881483638323,12.27572710935968,235.98024181421076,2.177522759005786,4
12041,-1980863915.1767545,-203767661.5622649,-20693600.326078624,34537.9395128592,-10163.754789433733,128.31213415247623,-175.54673956694685,-662.3802630768485,-72.90782257609767,1.2421022724477004,4
12051,937419172.9226009,-207496459.36524317,15500836.197239738,33189.10836806297,-19791.145530102647,6776.9455892472,-139.80551880284767,-455.805204561392,-218.3804288034551,-7.904300604197052,0
12053,-1707248737.2549303,196490385.7415041,-15940157.033014368,-167150.57524770795,278.7911164529991,-1392.3770594099408,626.6254188899386,33.88868816190319,185.0263248674176,13.691666280723549,4
12055,349194478.8003986,-1363876.3648860024,31017268.32193591,-79344.74193579653,-26363.93221095731,-8993.344981959484,1046.0964447356762,174.46115783706253,335.03935585577943,-38.67435784967393,0
12057,-437681784.89705104,1878371376.5074465,-20440333.75288601,-244944.87052956052,-15854.744100174756,-584.2761659239778,-487.64657177348084,90.03863194466898,-504.4944939595479,-54.54289500306297,0
12059,-1510955598.4317992,-205424045.66542682,-16286976.410102803,33335.66632386179,-10024.169348844525,-704.2543645621988,-317.332814537935,-400.3578252861615,-40.09700553348912,-5.02645845286026,4
12061,-1566257040.4073436,127979085.44371286,-20197075.718638808,-124700.19975732832,-29517.19326793526,4548.2553644537475,1272.4925380177774,-1340.0748027888467,1216.0244102396268,-9.48714616070458,4
12063,87841881.53815675,-212377578.47810474,-3068181.1382887936,42239.476541596225,14078.74622021056,-9.843808467312988,-519.6241989714475,-501.72947690528207,-234.42344209224882,-10.233448485304637,0
12065,-1067542946.7300742,-219460876.51811332,-28920449.2039912,30795.892080274636,-8179.801864942947,-787.4919209006162,-1163.4912062154942,979.1511747317675,201.3101662152353,-10.403577881893467,4
12067,-1267824279.8368258,-217058381.21475106,-28514839.84909768,28361.230645236097,-15808.31286893173,-378.7952569300841,-1072.1791451121348,974.1531781348052,232.37633471467595,-14.229612988386961,4
12069,-108226180.62158993,409340152.9007837,9486063.852126779,-236575.37436252795,16506.590333035798,-5412.349532675181,493.36941245322674,-11.962209061849933,5.907935411789354,-37.36407370901799,0
12071,-1036867780.7497197,1276702257.9756305,-18157426.516949985,-613087.0174601267,-27065.60510037061,1749.3542905228196,585.5491977306576,-912.9805172629891,228.14621897739082,-34.162323567162325,4
12073,-1043802983.1243678,300643428.25673056,-19236919.629854113,-117517.67838206743,969.8417208723241,-1870.9021524740567,1035.9656429268487,73.02407777857873,43.028535351045555,-21.465719484499125,4
12075,831958156.5928994,-234877810.72978234,-22847898.870687287,36123.4870629396,18096.39523988316,-3164.8783363003545,-696.7284756723888,-278.76459179716466,-137.21796233724058,-17.834586141573244,0
12077,-197814575.036381,-229893813.76350248,-30681828.020681746,24211.2739304428,-16850.73996730258,-709.3325796617739,-1045.2550107162638,970.7245544467461,229.88441128147636,-16.921594064892254,0
12079,-712745373.9223815,-218829928.2682923,-23060412.217154447,31777.190542442826,-8778.494074253114,973.09827181064,151.23060071528604,-1229.5669936181373,-194.1182169711949,-13.99695392528867,4
12081,-797520849.8708521,375813546.4730096,-26693948.86343924,-107314.02747825606,-17577.891627807046,-244.40812846272888,1229.9425779520832,771.3579194930041,-381.1310962213009,-49.321316730251965,4
