CMTE_ID,CMTE_NM,CMTE_TP,CMTE_CITY,CMTE_ST,CMTE_ZIP,CMTE_DSGN,CMTE_PTY_AFFILIATION,ORG_TP,CONNECTED_ORG_NM,CAND_ID
C00619064,KINSEY REMAKLUS FOR CONGRESS,H,SC,AZ,852522524,P,DEM,,NONE,
C00621169,JESSICA PRIESTER FOR PRESIDENT,P,TUCSON,AZ,85711,P,OTH,,NONE,
C00624163,ELECT INDEPENDENT ROBERT HIXON TO CONGRESS,H,BULLHEAD CITY,AZ,86442,P,IND,,NONE,
C00630533,PATRICK WAYNE STEWART,P,MESA,AZ,85204,P,REF,,NONE,
C00634337,IRINA BARONESS VON BEHR FOR US CONGRESS,H,TEMPE,AZ,85284,P,IND,,,H8AZ09016
C00634824,CAVANAUGH FOR CONGRESS,H,COOLIDGE,AZ,85128,P,REP,,,H8AZ01211
C00635730,JUDITH MCHALE FOR CONGRESS,H,PEORIA,AZ,85382,P,DEM,,,H8AZ08067
C00636175,BILLY KOVACS FOR CONGRESS,H,TUCSON,AZ,85702,P,DEM,,NONE,H8AZ02110
C00636423,CHARLIE VERDIN FOR CONGRESS,H,TUCSON,AZ,85711,P,DEM,,,H8AZ02128
C00637454,DEEDRA 2018 FOR US SENATE,S,SCOTTSDALE,AZ,85255,P,DEM,,,S8AZ00122
C00640938,JOAN GREENE FOR CONGRESS,H,PHOENIX,AZ,85044,P,DEM,,NONE,H8AZ05154
C00641316,SARCASTIC COMMITTEE FOR DOUG MARKS,S,CHANDLER,AZ,85286,P,LIB,,,S8AZ00130
C00641431,STEVE SMITH FOR CONGRESS,H,MARICOPA,AZ,85139,P,REP,,,H8AZ01229
C00647727,DR MATT HEINZ FOR ARIZONA,H,TUCSON,AZ,85732,P,DEM,,NONE,H8AZ02136
C00648873,COMMITTEE TO ELECT AUGIE BEYER,H,SURPRISE,AZ,85379,P,UN,,,H8AZ08075
C00649897,HIRAL FOR CONGRESS,H,PHOENIX,AZ,85080,P,DEM,,HIRAL VICTORY FUND,H8AZ08083
C00651042,KIRKPATRICK FOR CONGRESS,H,TUCSON,AZ,85702,P,DEM,,HOUSE VICTORY PROJECT,H8AZ01104
