FIPStxt,POP_COU,AREA_COU,POP_URBAN,POPPCT_URBAN,AREA_URBAN,AREAPCT_URBAN,POPDEN_URBAN,POP_UA,POPPCT_UA,AREA_UA,AREAPCT_UA,POPDEN_UA,POP_UC,POPPCT_UC,AREA_UC,AREAPCT_UC,POPDEN_UC,POP_RURAL,POPPCT_RURAL,AREA_RURAL,AREAPCT_RURAL,POPDEN_RURAL,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,class
4007,53597,12322988718,31589,58.94,50348625,0.41,1625.0,0,0.0,0,0.0,0.0,31589,58.94,50348625,0.41,1625.0,22008,41.06,12272640093,99.59,4.6,14133066758.938469,-354327395.40872777,4202544.5439855065,-8258.348127186462,-18785.16195054736,3941.6749478974143,-79.59083224168057,-304.33260921944844,-337.25258875421304,11.776905548604196,2
4009,37220,11972471194,19936,53.56,36102514,0.3,1430.2,0,0.0,0,0.0,0.0,19936,53.56,36102514,0.3,1430.2,17284,46.44,11936368680,99.7,3.8,13647271849.75886,-361932797.7565673,-12896160.850449415,-15592.69852700821,-21583.960320130158,-1889.7663630790046,27.88725953711872,-419.3409246711636,-218.87768215601366,10.886580767807596,2
4011,8437,4773673819,4508,53.43,8714839,0.18,1339.7,0,0.0,0,0.0,0.0,4508,53.43,8714839,0.18,1339.7,3929,46.57,4764958980,99.82,2.1,3486372689.693582,-265870623.26902407,-27081346.37477101,9479.66561150492,-26822.735214888307,-1037.2650393730205,47.565788677574965,-586.4382500185202,-38.509587812554884,-4.961231854717638,0
4012,20489,11653984341,8948,43.67,15576728,0.13,1487.8,0,0.0,0,0.0,0.0,8948,43.67,15576728,0.13,1487.8,11541,56.33,11638407613,99.87,2.6,13211124712.941118,-376054922.3816401,-38066181.489299856,-19878.050829929038,-22298.06520237263,-3187.1507716361207,164.79292013226535,-680.2442538233198,-168.555572323627,12.3738778514548,2
4013,3817117,23828260196,3726888,97.64,3096695949,13.0,3117.1,3686117,96.57,3037852079,12.75,3142.7,40771,1.07,58843870,0.25,1794.5,90229,2.36,20731564247,87.0,11.3,28306616569.236706,4287226912.1642575,8538667.842409026,1021444.8854201919,15405.090309297857,-315.03013840587266,-6939.937392919617,-1641.303625361769,789.6591078464699,-67.53112755071324,1
26039,14074,1440758147,3858,27.41,10701701,0.74,933.7,0,0.0,0,0.0,0.0,3858,27.41,10701701,0.74,933.7,10216,72.59,1430056446,99.26,18.5,-1228110350.7116158,-207444030.84430063,-15011638.097368263,28243.416253436713,-18163.682553347346,-1808.2023320287185,-354.6924229276731,-152.34192742537996,42.70157898759663,-12.41047663299783,4
4015,200186,34475546921,154216,77.04,241681832,0.7,1652.7,53427,26.69,76512992,0.22,1808.5,100789,50.35,165168840,0.48,1580.5,45970,22.96,34233865089,99.3,3.5,45326959861.05057,-499267243.5292038,87330054.82851446,-126104.10082454825,-36382.90937837059,11892.892226655638,1087.2959637560923,1783.0927618860444,-63.69580387680951,48.75285774233664,1
4017,107449,25771473007,49278,45.86,111542181,0.43,1144.2,0,0.0,0,0.0,0.0,49278,45.86,111542181,0.43,1144.2,58171,54.14,25659930826,99.57,5.9,33108270564.57861,-524246727.2225458,43446649.023771115,-66659.42530103086,-3330.807231551842,-18041.642611862662,-65.72633217558597,5.545970334436584,-483.28147971082234,16.339965022553944,1
4019,980263,23794311939,906513,92.48,1025731295,4.31,2289.0,834443,85.12,901603487,3.79,2397.1,72070,7.35,124127808,0.52,1503.8,73750,7.52,22768580644,95.69,8.4,29683255026.064068,954354037.8567615,72963885.6077273,-166999.04175974135,-8721.181310457216,4504.48052846005,9.030567959448247,567.0816333826748,-168.15378090299106,-61.21691261339743,1
4021,375770,13896869603,293459,78.1,310663553,2.24,2446.6,200094,53.25,230985606,1.66,2243.6,93365,24.85,79677947,0.57,3034.9,82311,21.9,13586206050,97.76,15.7,16179440100.159237,14022970.661743095,38978270.337119795,13724.328197356774,57845.362684807296,60215.50204367516,-884.3791254323135,1721.3537093724108,103.65197956364098,-12.947962119863327,2
4023,47420,3203598541,34672,73.12,69145851,2.16,1298.7,0,0.0,0,0.0,0.0,34672,73.12,69145851,2.16,1298.7,12748,26.88,3134452690,97.84,10.5,1224225951.760863,-181753732.75505555,54204830.36386873,28099.817930987952,-34785.948628244776,1727.525453838257,-103.71516006333222,-88.43335519590455,-135.28105270146528,-11.474563413785202,0
4025,211033,21039764981,140976,66.8,239491923,1.14,1524.6,84744,40.16,132047936,0.63,1662.2,56232,26.65,107443987,0.51,1355.5,70057,33.2,20800273058,98.86,8.7,26329101961.578842,-237991636.03962737,52941564.76049576,-111301.58646282859,12952.693569443496,-4951.7728768605175,752.8158074781568,732.7305358064951,-9.90559323562798,-26.922853365068534,1
4027,195751,14281174361,175335,89.57,177983738,1.25,2551.4,134256,68.59,148991238,1.04,2333.8,41079,20.99,28992500,0.2,3669.7,20416,10.43,14103190623,98.75,3.7,16814441014.032084,-171038644.50431922,-27243383.977021333,-27324.632722961313,-12507.027801840804,27700.199825822918,1523.3082747901283,-629.1857976100048,1001.0126950640897,21.578438451641112,2
12001,247336,2266291505,194917,78.81,241352176,10.65,2091.7,187781,75.92,225430522,9.95,2157.4,7136,2.89,15921654,0.7,1160.8,52419,21.19,2024939329,89.35,67.0,-219447600.70074663,141837357.9254504,-8776980.539152533,-22932.044487508967,26889.444882655214,-3053.762206440875,1097.7780984907445,34.26994386131588,83.45713769425802,-29.348582916452482,0
12003,27115,1515741200,10984,40.51,25028209,1.65,1136.7,0,0.0,0,0.0,0.0,10984,40.51,25028209,1.65,1136.7,16131,59.49,1490712991,98.35,28.0,-1132006925.322608,-195088234.6026314,2978319.111461371,32388.647668726364,-15285.185424610272,-1603.3118100050115,-288.3118769053512,-290.0195934630844,-44.232373645660786,-6.967292832427092,4
12005,168852,1964400618,148590,88.0,253512047,12.91,1518.1,142773,84.56,235743296,12.0,1568.6,5817,3.45,17768751,0.9,847.9,20262,12.0,1710888571,87.09,30.7,-654730518.9119252,165107300.1976932,-5475334.774085142,-137067.37774650587,-19675.824043460765,-3412.0296738217244,1090.0822689140539,127.52074482679015,185.87338926381037,-35.772953422688765,4
12007,28520,761356806,6979,24.47,16031759,2.11,1127.5,0,0.0,0,0.0,0.0,6979,24.47,16031759,2.11,1127.5,21541,75.53,745325047,97.89,74.9,-2192552514.028979,-190849171.99012744,-6293019.972314102,38847.21683540212,-4644.113883972725,-1330.5199640357669,-430.2550224120467,-309.10167324440204,-58.38275963684542,27.938977752697795,4
12009,543376,2630557912,515803,94.93,688744561,26.18,1939.7,515803,94.93,688744561,26.18,1939.7,0,0.0,0,0.0,0.0,27573,5.07,1941813351,73.82,36.8,-12093315.391627654,856946222.526895,-26011473.09318516,-284649.2892885664,-20152.531911954837,-129.18981934630267,711.9316588683117,539.6433199379067,-453.7831673323636,-68.63609017815389,0
