Crimes - All Counties,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Trucks and Buses,"40,982","44,713","47,550","46,741","48,262","48,209","45,419","40,219","36,194","27,625","24,984","23,446","25,284","25,145","21,816","23,365","26,040","32,127","33,524","31,303"
Other,"9,411","10,381","11,752","13,606","15,174","15,606","14,615","12,657","12,148","10,930","9,857","10,050","11,002","11,702","9,886","11,304","12,245","12,474","11,505","11,319"
Larceny-Theft,"651,564","689,491","712,419","727,527","726,614","688,820","666,869","654,481","650,653","613,614","600,357","597,302","634,647","621,207","592,336","655,851","636,542","641,804","621,288","622,869"
Pocket-Picking,"4,523","3,316","3,788","3,864","3,509","3,274","3,384","3,791","3,556","3,232","3,186","3,281","3,431","3,478","3,293","3,783","3,903","4,874","5,228","6,033"
Purse-Snatching,"4,502","4,524","4,234","4,507","4,291","4,125","4,513","4,100","3,798","3,504","3,181","2,857","2,851","2,863","2,706","2,790","2,472","2,599","2,312","2,444"
Shoplifting,"89,908","88,330","90,597","93,086","93,482","86,364","82,775","88,412","94,891","97,653","93,665","91,845","94,136","93,532","97,301","108,659","98,589","91,553","89,378","90,309"
From Motor Vehicle,"223,309","245,033","270,230","282,126","280,665","272,073","266,186","256,636","247,270","235,522","225,416","211,903","223,295","217,029","202,916","235,419","238,185","256,625","243,040","245,795"
Motor Vehicle Accessories,"61,913","74,605","78,528","80,734","82,037","73,035","64,615","57,762","59,324","50,934","49,609","46,924","49,277","46,320","48,029","53,541","51,656","51,897","51,872","55,209"
Bicycles,"29,535","27,931","26,474","26,605","25,231","23,244","21,041","20,074","22,680","25,980","26,445","30,093","35,159","34,747","33,095","36,554","31,739","28,996","27,336","24,494"
From Building,"104,243","109,345","106,359","101,445","99,960","93,578","89,171","85,268","81,371","75,884","75,313","76,803","80,634","77,017","80,294","77,023","72,225","69,892","69,324","66,657"
Coin Operated Machine,"5,255","5,629","3,636","3,455","3,342","3,306","2,519","2,394","2,153","1,803","1,634","1,414","1,450","1,599","1,230","1,307","1,468","1,406","1,037","1,055"
Other,"128,376","130,778","128,573","131,705","134,097","129,821","132,665","136,044","135,610","119,102","121,908","132,182","144,414","144,622","123,472","136,775","136,305","133,962","131,761","130,873"
Over $400,"175,013","195,037","208,367","211,634","215,532","215,772","218,466","223,350","226,125","202,639","203,833","216,030","232,014","228,035","215,820","238,456","235,543","261,346","270,124","281,436"
$200 through $400,"102,424","106,602","110,107","113,392","114,873","109,155","105,213","102,009","102,947","99,226","96,180","91,666","95,880","90,476","85,033","91,947","86,853","86,436","84,523","82,438"
$50 through $199,"138,102","144,146","143,798","146,475","145,082","133,188","123,996","118,991","118,202","116,038","115,484","113,113","118,159","112,284","110,108","120,590","112,408","108,836","105,185","100,697"
Under $50,"236,025","243,706","250,147","256,026","251,127","230,705","219,194","210,131","203,379","195,711","184,860","176,493","188,594","190,412","181,375","204,858","201,738","185,186","161,456","158,298"
Arson,"14,406","15,060","14,007","13,677","12,660","12,272","12,687","11,400","10,674","9,233","7,864","7,164","7,519","7,446","7,135","7,380","7,766","8,650","8,523","8,266"
Structural Property,"4,669","4,612","4,119","3,992","3,786","3,774","3,758","3,438","3,416","2,865","2,546","2,327","2,654","2,528","2,459","2,450","2,805","3,175","2,825","2,877"
Mobile Property,"4,616","5,357","5,473","5,419","4,846","4,349","4,442","4,011","3,888","3,304","2,501","2,060","1,978","1,822","1,825","1,853","1,943","1,979","2,047","1,773"
Other Property,"5,121","5,091","4,415","4,266","4,028","4,149","4,487","3,951","3,370","3,064","2,817","2,777","2,887","3,096","2,851","3,077","3,018","3,496","3,651","3,616"
